제목,지역,분류,조회수,평점,북마크,url,주소
링고,봉천/신림,맥주/호프,711112,3.2,12,https://www.siksinhot.com/P/251526, 서울특별시 관악구 신림로 85 
스시나마,봉천/신림,초밥,68289,3.2,9,https://www.siksinhot.com/P/251408, 서울특별시 관악구 신림로 324
왕재곱창,보라매/신대방,곱창/대창,65868,3.1,8,https://www.siksinhot.com/P/346096, 서울특별시 관악구 봉천로 239 
장수집,서울대/샤로수길/낙성대,삼계탕/백숙/찜닭,1150417,3.1,17,https://www.siksinhot.com/P/342829, 서울특별시 관악구 봉천로 486
맛기행사계절 ,서울대/샤로수길/낙성대,샤브샤브,811712,3.1,12,https://www.siksinhot.com/P/267560, 서울특별시 관악구 봉천로 598
목포회센타,봉천/신림,회/횟집/참치,759215,3.1,15,https://www.siksinhot.com/P/254990, 서울특별시 관악구 남부순환로 1766 
최희성고려왕족발 ,봉천/신림,족발/보쌈,838519,3.1,19,https://www.siksinhot.com/P/255012, 서울특별시 관악구 청룡2길 10 
경식이네알쌈쭈꾸미 신림본점,봉천/신림,해물탕/해물요리,1859410,3.1,10,https://www.siksinhot.com/P/251479, 서울 관악구 조원로18길 25
미가할매 신림점,봉천/신림,한정식,1516210,3.1,10,https://www.siksinhot.com/P/251382, 서울특별시 관악구 신림로 374
시장탕수육,봉천/신림,중식,824315,3.1,15,https://www.siksinhot.com/P/251435, 서울특별시 관악구 신원로 23 신원시장 
황토방,서울대/샤로수길/낙성대,한정식,67716,3.1,6,https://www.siksinhot.com/P/63074, 서울특별시 관악구 관악로12길 6
보라매양평해장국,보라매/신대방,해장국/국밥/육개장,234413,3.0,13,https://www.siksinhot.com/P/1289851, 서울특별시 관악구 봉천로 229
동해세꼬시,서울대/샤로수길/낙성대,회/횟집/참치,48232,3.0,2,https://www.siksinhot.com/P/479763, 서울특별시 관악구 청룡1길 16 
미스리부자아줌마,서울대/샤로수길/낙성대,한정식,58763,3.0,3,https://www.siksinhot.com/P/371210, 서울특별시 관악구 남부순환로 1802
까꿍돼지사당삼겹살,사당/이수,돼지구이,1139814,3.0,14,https://www.siksinhot.com/P/366161, 서울특별시 관악구 남현1길 68-6
삼촌네,봉천/신림,순댓국/순대,30382,3.0,2,https://www.siksinhot.com/P/360597, 서울특별시 관악구 신림로59길 14 민속순대타운 306호
흥부보쌈,봉천/신림,족발/보쌈,938910,3.0,10,https://www.siksinhot.com/P/333425, 서울특별시 관악구 신림로59길 15-13
지기네불닭발 ,봉천/신림,닭볶음탕/닭갈비/닭발,45494,3.0,4,https://www.siksinhot.com/P/321146, 서울 관악구 조원로 5-14
롤리팝키즈카페 신림점,봉천/신림,카페/커피숍,80238,3.0,8,https://www.siksinhot.com/P/314818, 서울특별시 관악구 난곡로 98 파로스프라자 
서산꽃게,서울대/샤로수길/낙성대,꽃게/랍스터/새우,953513,3.0,13,https://www.siksinhot.com/P/255036, 서울특별시 관악구 남부순환로226길 31 
지오북카페 ,서울대/샤로수길/낙성대,카페/커피숍,70148,3.0,8,https://www.siksinhot.com/P/255065, 서울특별시 관악구 관악로12길 3-6 지하 1층
유명한횟집,봉천/신림,회/횟집/참치,876313,3.0,13,https://www.siksinhot.com/P/251343, 서울 관악구 신림로 371
일미 족발,봉천/신림,족발/보쌈,52377,3.0,7,https://www.siksinhot.com/P/251433, 서울특별시 관악구 신림로68길 9
동학,봉천/신림,막걸리/동동주,963610,3.0,10,https://www.siksinhot.com/P/52685, 서울특별시 관악구 대학5길 29
아라쭈꾸미 신림5동점,봉천/신림,해물탕/해물요리,1447415,3.0,15,https://www.siksinhot.com/P/49428, 서울특별시 관악구 봉천로12길 49
조원녹두삼계탕,봉천/신림,삼계탕/백숙/찜닭,86225,3.0,5,https://www.siksinhot.com/P/24135, 서울특별시 관악구 조원중앙로 9 
고로커피로스터스,봉천/신림,베이커리/제과점,27011,2.9,1,https://www.siksinhot.com/P/481544, 서울특별시 관악구 은천로 177 
히토리 더 야끼니꾸 ,서울대/샤로수길/낙성대,소구이/불고기,86573,2.9,3,https://www.siksinhot.com/P/480759, 서울특별시 관악구 남부순환로230길 8 
코코미,서울대/샤로수길/낙성대,초밥,5875,2.9,,https://www.siksinhot.com/P/416730, 서울특별시 관악구 관악로 146
커먼룸,서울대/샤로수길/낙성대,카페/커피숍,30052,2.9,2,https://www.siksinhot.com/P/377673, 서울특별시 관악구 남부순환로234길 21
소문난대구왕뽈찜,서울대/샤로수길/낙성대,해물탕/해물요리,39132,2.9,2,https://www.siksinhot.com/P/377334, 서울 관악구 봉천로62길 5
구로곱창,봉천/신림,곱창/대창,54775,2.9,5,https://www.siksinhot.com/P/372657, 서울 관악구 조원로 9
해밀손칼국수,서울대/샤로수길/낙성대,칼국수/국수,50192,2.9,2,https://www.siksinhot.com/P/372510, 서울특별시 관악구 청림6길 20
순보보,서울대/샤로수길/낙성대,한식기타,52391,2.9,1,https://www.siksinhot.com/P/371239, 서울특별시 관악구 봉천로62길 10
심가면옥,봉천/신림,냉면/막국수,71574,2.9,4,https://www.siksinhot.com/P/368707, 서울특별시 관악구 신림로 121
엘리펀트키친,서울대/샤로수길/낙성대,맥주/호프,34402,2.9,2,https://www.siksinhot.com/P/367176, 서울특별시 관악구 관악로14길 15
몽닭발,봉천/신림,닭볶음탕/닭갈비/닭발,69699,2.9,9,https://www.siksinhot.com/P/321133, 서울특별시 관악구 신림로11길 11-9
링고,서울대/샤로수길/낙성대,맥주/호프,24791,2.8,1,https://www.siksinhot.com/P/480289, 서울특별시 관악구 봉천로 518-4
다부찌,봉천/신림,부대찌개,3256,2.8,,https://www.siksinhot.com/P/480066, 서울특별시 관악구 호암로24길 43
매갈 신림점 ,봉천/신림,소구이/불고기,5518,2.8,,https://www.siksinhot.com/P/479899, 서울 관악구 신림동길 20
목포수산 ,봉천/신림,회/횟집/참치,50031,2.8,1,https://www.siksinhot.com/P/479767, 서울특별시 관악구 관천로 39
소년의 레시피,봉천/신림,유러피안,51262,2.8,2,https://www.siksinhot.com/P/410460, 서울특별시 관악구 신원로 26
대원갈비,봉천/신림,돼지구이,34702,2.8,2,https://www.siksinhot.com/P/446480, 서울 관악구 신림로67길 5
신쭈꾸미,봉천/신림,해물탕/해물요리,19642,2.8,2,https://www.siksinhot.com/P/382580, 서울특별시 관악구 신림로 359 
솟대,봉천/신림,해물탕/해물요리,2816,2.8,,https://www.siksinhot.com/P/379388, 서울특별시 관악구 신림로 305
오신매운갈비찜 서울대입구점,서울대/샤로수길/낙성대,소구이/불고기,58304,2.8,4,https://www.siksinhot.com/P/377744, 서울특별시 관악구 남부순환로230길 14
알렉스플레이스,서울대/샤로수길/낙성대,버거,4988,2.8,,https://www.siksinhot.com/P/377672, 서울 관악구 쑥고개로 100
김태완스시 낙성대점,서울대/샤로수길/낙성대,일식,87043,2.8,3,https://www.siksinhot.com/P/377682, 서울특별시 관악구 남부순환로 1908 
달달첼 베이커리,서울대/샤로수길/낙성대,베이커리/제과점,39763,2.8,3,https://www.siksinhot.com/P/375232, 서울 관악구 청룡7길 47
명운추어탕,봉천/신림,전골,3838,2.8,,https://www.siksinhot.com/P/373260, 서울특별시 관악구 신림로18가길 32 
산마루,서울대/샤로수길/낙성대,닭볶음탕/닭갈비/닭발,40662,2.8,2,https://www.siksinhot.com/P/373235, 서울 관악구 낙성대로 98
훈이네 감자탕,봉천/신림,전골,46551,2.8,1,https://www.siksinhot.com/P/373003, 서울특별시 관악구 봉천로 360 
와인창고잡,서울대/샤로수길/낙성대,와인,44852,2.8,2,https://www.siksinhot.com/P/372279, 서울특별시 관악구 남부순환로226길 31
샤로수길 샤로스톤,서울대/샤로수길/낙성대,스테이크,80996,2.8,6,https://www.siksinhot.com/P/372284, 서울 관악구 관악로14길 63
카페산다,서울대/샤로수길/낙성대,카페/커피숍,31882,2.8,2,https://www.siksinhot.com/P/372290, 서울특별시 관악구 낙성대로 22-13 
대게한상,봉천/신림,해물탕/해물요리,87534,2.8,4,https://www.siksinhot.com/P/371240, 서울특별시 관악구 남부순환로 1685
볏짚구이이야기 본점,서울대/샤로수길/낙성대,장어/꼼장어,641212,2.8,12,https://www.siksinhot.com/P/369308, 서울 관악구 봉천로 490-1
크래프트라인,사당/이수,맥주/호프,546318,2.8,18,https://www.siksinhot.com/P/367049, 서울 관악구 과천대로 947
풍무양꼬치,봉천/신림,중식,49291,2.8,1,https://www.siksinhot.com/P/365867, 서울 관악구 시흥대로 572
지중해참치 ,서울대/샤로수길/낙성대,회/횟집/참치,63658,2.8,8,https://www.siksinhot.com/P/321063, 서울특별시 관악구 관악로 185
정가한정식,봉천/신림,한정식,135047,2.8,7,https://www.siksinhot.com/P/88544, 서울특별시 관악구 남부순환로 1710 이너스빌딩 
낙성기사식당,서울대/샤로수길/낙성대,한식기타,64983,2.7,3,https://www.siksinhot.com/P/872181, 서울 관악구 봉천로 550
사운드마인드,서울대/샤로수길/낙성대,맥주/호프,2157,2.7,,https://www.siksinhot.com/P/482588, 서울특별시 관악구 낙성대로 14
낀알로이알로이,봉천/신림,인도네시아,38962,2.7,2,https://www.siksinhot.com/P/480231, 서울특별시 관악구 청룡2길 29 
별미분식,사당/이수,한식기타,3282,2.7,,https://www.siksinhot.com/P/479827, 서울 관악구 남현2길 46
명랑찜닭 봉천점,서울대/샤로수길/낙성대,삼계탕/백숙/찜닭,42082,2.7,2,https://www.siksinhot.com/P/466855, 서울 관악구 낙성대로 12
참배나무골 사당점,사당/이수,오리고기,140302,2.7,2,https://www.siksinhot.com/P/382788, 서울 관악구 남부순환로 2068
생활맥주 (서울대입구점),서울대/샤로수길/낙성대,맥주/호프,51230,2.7,0,https://www.siksinhot.com/P/377677, 서울특별시 관악구 관악로14가길 2 
자매멸치국수,봉천/신림,칼국수/국수,50985,2.7,5,https://www.siksinhot.com/P/377551, 서울특별시 관악구 관천로12길 30
십원집신림점,봉천/신림,돼지갈비,46451,2.7,1,https://www.siksinhot.com/P/377217, 서울특별시 관악구 신림로 354
이레김밥 봉천1호점,서울대/샤로수길/낙성대,김밥,51623,2.7,3,https://www.siksinhot.com/P/373393, 서울특별시 관악구 남부순환로246길 31
한남식당,봉천/신림,닭볶음탕/닭갈비/닭발,3329,2.7,,https://www.siksinhot.com/P/373232, 서울특별시 관악구 관천로 57-1 
코너탭하우스,서울대/샤로수길/낙성대,맥주/호프,30472,2.7,2,https://www.siksinhot.com/P/372285, 서울특별시 관악구 남부순환로234길 34
오인자아구찜,서울대/샤로수길/낙성대,해물탕/해물요리,54652,2.7,2,https://www.siksinhot.com/P/371208, 서울특별시 관악구 남부순환로 1924
모다모다,서울대/샤로수길/낙성대,일식,40846,2.7,6,https://www.siksinhot.com/P/371213, 서울 관악구 관악로14길 36
봉이돈까스,봉천/신림,경양식/돈가스,38055,2.7,5,https://www.siksinhot.com/P/371243, 서울특별시 관악구 남부순환로 1754
포도원삼계탕 ,봉천/신림,삼계탕/백숙/찜닭,46134,2.7,4,https://www.siksinhot.com/P/370820, 서울 관악구 신림로 312
밀형제양조장,서울대/샤로수길/낙성대,맥주/호프,2793,2.6,,https://www.siksinhot.com/P/480573, 서울 관악구 관악로14길 22
봉천예술관,서울대/샤로수길/낙성대,한식주점,54345,2.6,5,https://www.siksinhot.com/P/372283, 서울특별시 관악구 관악로14길 22
돈파스팔레,서울대/샤로수길/낙성대,이탈리안,735210,2.6,10,https://www.siksinhot.com/P/371238, 서울특별시 관악구 봉천로 568-1 
육진정육식당,봉천/신림,소구이/불고기,57833,2.6,3,https://www.siksinhot.com/P/371244, 서울특별시 관악구 봉천로 397
할매보쌈 ,봉천/신림,족발/보쌈,58732,2.6,2,https://www.siksinhot.com/P/365866, 서울특별시 관악구 신림로 351 
